Company_Code,Company_Name,Revenue,Revenue_Growth_Rate,Net_Income_Loss,Net_Worth,Return_on_Equity,Stock,Total_Assets,Return_on_Assets,Asset_Turnover_Ratio,Debt_Ratio,EPS,Top_100
2801,彰銀,19140252.0,14.83,7040927.0,165053790.0,4.28,103847236.0,2313440219.0,0.31,0.04,92.4,0.68,0.00 
2809,京城銀,5245953.0,4.87,5490971.0,46583090.0,12.29,11212343.0,325457939.0,1.72,0.07,85.52,4.9,0.00 
2812,台中銀,8279093.0,3.87,4025533.0,57321753.0,7.26,41516943.0,736770021.0,0.56,0.04,92.48,1.03,0.00 
2820,華票,1120638.0,24.44,1578242.0,25449442.0,6.3,13429600.0,218284001.0,0.71,0.03,87.92,1.18,0.00 
2834,臺企銀,16192217.0,5.81,4701775.0,98658749.0,4.8,74885834.0,1791635053.0,0.27,0.04,94.53,0.63,0.00 
2836,高雄銀,2605181.0,0.18,763315.0,16214624.0,4.73,11295577.0,276159561.0,0.28,0.04,94.3,0.68,0.00 
2838,聯邦銀,7641060.0,3.8,3441505.0,60192412.0,5.84,32933688.0,757558002.0,0.45,0.05,91.91,0.96,0.00 
2845,遠東銀,6036627.0,3.98,2518703.0,48743705.0,5.18,34481044.0,680047467.0,0.37,0.05,92.78,0.73,0.00 
2849,安泰銀,3425664.0,8.83,2171460.0,34521952.0,6.35,19579101.0,311461016.0,0.7,0.05,88.99,1.11,0.00 
2897,王道銀行,4024649.0,3.15,2300929.0,54252765.0,4.39,30330063.0,575413630.0,0.4,0.04,90.94,0.41,0.00 
5876,上海商銀,26388610.0,7.68,17814616.0,205099212.0,8.73,44816031.0,2113741790.0,0.83,0.05,90.16,3.01,0.00 
2855,統一證,9581272.0,34.15,3614596.0,29479482.0,12.64,13998378.0,113711765.0,3.23,0.13,72.05,2.58,0.00 
6005,群益證,9724095.0,24.67,3840679.0,38674730.0,10.11,21709081.0,163062634.0,2.36,0.1,72.8,1.64,0.00 
6024,群益期,2425823.0,26.31,622344.0,6386959.0,9.84,2104376.0,46413395.0,1.34,0.08,87.75,3.07,0.00 
1101,台泥,114367247.0,6.86,27991393.0,218830053.0,13.13,60102549.0,389506236.0,7.28,0.58,43.27,4.32,0.00 
1102,亞泥,78240880.0,12.42,18773807.0,169886952.0,11.16,33614472.0,297086855.0,6.27,0.53,43.0,4.7,0.00 
1103,嘉泥,2058417.0,9.2,1837994.0,25017349.0,7.64,7747805.0,40646227.0,4.69,0.09,38.85,2.74,0.00 
1104,環泥,5426217.0,8.4,1259795.0,18785353.0,6.86,6536092.0,24102936.0,5.33,0.37,22.64,1.91,0.00 
1108,幸福,4530172.0,21.4,392269.0,4656919.0,8.49,4047380.0,8027307.0,4.93,0.87,41.04,0.97,0.00 
1109,信大,7593294.0,3.15,1448873.0,9541016.0,15.78,3419579.0,11811053.0,12.81,1.25,22.89,2.94,0.00 
1110,東泥,1590986.0,0.38,16949.0,8548719.0,0.2,5720008.0,9865320.0,0.17,0.28,12.01,0.04,0.00 
1201,味全,18650871.0,7.77,536142.0,6855788.0,7.99,5060629.0,18031521.0,2.93,1.83,63.64,1.06,0.00 
1203,味王,6043700.0,6.17,693921.0,6312382.0,11.16,2400000.0,9331602.0,7.45,1.17,34.05,1.81,0.00 
1210,大成,81650892.0,3.14,4072346.0,27886752.0,15.04,8273391.0,51693036.0,7.89,2.84,48.57,3.99,0.00 
1213,大飲,409612.0,5.94,27252.0,536146.0,5.0,566226.0,1255281.0,2.14,0.62,55.5,0.48,0.00 
1215,卜蜂,22189635.0,4.8,1639876.0,8733486.0,19.22,2679910.0,19546349.0,8.47,2.0,53.74,6.18,0.00 
1216,統一,447319979.0,0.08,30800665.0,180598593.0,17.3,56820154.0,495338492.0,6.24,1.67,63.56,3.79,0.00 
1217,愛之味,4614486.0,3.3,249394.0,6858474.0,3.68,4945134.0,13340859.0,1.86,0.62,50.07,0.47,0.00 
1218,泰山,8356125.0,4.27,851541.0,7031602.0,12.25,4999990.0,9240265.0,9.28,1.51,28.43,1.75,0.00 
1219,福壽,12324165.0,0.67,565233.0,4443414.0,12.91,3220139.0,8550063.0,6.6,2.39,55.7,1.91,0.00 
1220,台榮,2775071.0,6.85,189740.0,2548594.0,7.53,1770779.0,3101296.0,6.27,1.65,21.31,1.02,0.00 
1225,福懋油,10213493.0,4.07,417787.0,3733141.0,11.45,2187030.0,7693394.0,5.52,2.32,52.87,1.72,0.00 
1227,佳格,34466244.0,10.23,3255830.0,18015627.0,18.55,9150897.0,27823862.0,12.26,2.15,33.5,3.54,0.00 
1229,聯華,9544161.0,15.64,3499454.0,44450094.0,8.23,12814983.0,55988518.0,6.53,0.31,19.15,2.43,0.00 
1231,聯華食,8817321.0,2.66,685698.0,4065573.0,17.42,1833252.0,8822575.0,7.81,2.0,51.06,3.74,0.00 
1232,大統益,17440979.0,1.7,1322623.0,4641004.0,29.9,1599749.0,6348688.0,21.94,5.25,28.86,8.08,0.00 
1233,天仁,1906194.0,15.07,57383.0,1504274.0,3.89,905919.0,2433516.0,2.37,1.59,35.07,0.63,0.00 
1234,黑松,9204945.0,0.65,890163.0,18068635.0,4.95,4018711.0,22211391.0,3.96,0.69,21.03,2.22,0.00 
1235,興泰,78579.0,27.28,65636.0,2997328.0,2.39,1043978.0,4167382.0,1.64,0.02,38.58,0.65,0.00 
1236,宏亞,1637280.0,12.16,180.0,1607981.0,0.01,1083425.0,2764972.0,0.01,1.2,38.43,0.0,0.00 
1256,鮮活果汁-KY,3479683.0,1.15,776806.0,2670735.0,30.36,338422.0,3557450.0,21.83,1.99,34.59,22.99,0.00 
1301,台塑,185813405.0,10.6,20036199.0,332536140.0,6.41,63657408.0,479280423.0,4.35,0.74,29.76,3.15,1.00 
1303,南亞,273353806.0,4.52,26888091.0,356586478.0,7.86,79308216.0,584712347.0,4.74,0.9,35.9,3.24,1.00 
1304,台聚,50201273.0,9.81,5682637.0,48723643.0,12.22,11887635.0,77324516.0,7.56,1.36,45.15,2.25,0.00 
1305,華夏,13733148.0,9.17,1791710.0,10303758.0,18.37,5533814.0,13893625.0,13.35,2.15,29.35,2.95,0.00 
1307,三芳,8441756.0,17.81,218012.0,7873126.0,2.77,3978181.0,15340889.0,1.42,1.18,45.4,0.55,0.00 
1308,亞聚,5703546.0,16.01,1103587.0,12109545.0,9.65,5821018.0,16883503.0,6.75,0.7,39.55,1.9,0.00 
1309,台達化,15498381.0,12.29,1919818.0,6355806.0,32.71,3442310.0,9245870.0,21.54,3.82,46.28,5.58,0.00 
1310,台苯,8113225.0,33.61,289723.0,7463726.0,4.16,5278698.0,9012370.0,3.49,2.31,22.3,0.55,0.00 
1312,國喬,16575784.0,19.12,4320555.0,31120337.0,14.51,9266203.0,36322368.0,12.53,1.15,13.51,4.52,0.00 
1313,聯成,51866839.0,17.29,2134320.0,24954701.0,9.01,13323476.0,44200637.0,4.86,2.4,54.44,1.62,0.00 
1314,中石化,17583092.0,40.64,674660.0,70868031.0,0.96,32848502.0,104909990.0,0.65,0.58,30.35,0.21,0.00 
1315,達新,2233540.0,8.46,5430211.0,12204094.0,44.67,1386000.0,13066420.0,40.81,0.44,15.44,31.97,0.00 
1316,上曜,1236441.0,51.72,65067.0,2609608.0,3.96,1846776.0,7095303.0,1.47,0.17,64.56,0.2,0.00 
1319,東陽,17322986.0,19.87,742587.0,22359392.0,3.34,5914771.0,35553199.0,2.09,1.01,38.72,1.39,0.00 
1321,大洋,4980018.0,6.33,715152.0,6604117.0,5.93,2272283.0,12175162.0,3.14,0.71,53.98,3.24,0.00 
1323,永裕,3406532.0,6.51,353094.0,2581337.0,14.06,912745.0,5473347.0,6.51,1.25,53.79,3.2,0.00 
1324,地球,1055758.0,7.09,16364.0,972295.0,1.69,751219.0,1242489.0,1.35,1.61,20.43,0.22,0.00 
1325,恆大,4056858.0,424.97,2014576.0,3829882.0,56.4,852812.0,4635081.0,46.27,0.73,5.91,23.16,0.00 
1326,台化,253294668.0,21.91,21553709.0,395452529.0,5.81,58611863.0,531820428.0,4.23,1.03,25.66,3.34,1.00 
1337,再生-KY,1008157.0,20.04,1312802.0,5794990.0,21.2,2689547.0,6532866.0,19.12,0.29,7.78,4.88,0.00 
1338,廣華-KY,6166478.0,16.99,287319.0,6565723.0,4.49,838400.0,10354080.0,2.89,1.28,34.02,3.51,0.00 
1339,昭輝,2120901.0,20.57,119613.0,3585661.0,3.36,741389.0,5298401.0,2.25,0.84,32.73,1.59,0.00 
1340,勝悅-KY,656406.0,43.38,389742.0,5421970.0,7.11,1529229.0,5565765.0,6.89,0.0,4.34,2.55,0.00 
1341,富林-KY,2664416.0,11.8,310881.0,1216621.0,26.45,494000.0,2121080.0,14.83,2.45,42.95,6.29,0.00 
1342,八貫,1531351.0,2197.9027262931036,196227.0,1458936.0,13.349612068965518,678453.0,1975262.0,6.0490625,1.251293103448276,46.20329741379311,3.15,0.00 
1402,遠東新,206769281.0,17.23,12980539.0,269424640.0,4.86,53528751.0,616955270.0,2.12,0.78,52.9,1.62,0.00 
1410,南染,416256.0,4.56,62551.0,1138609.0,5.55,630000.0,1387560.0,4.56,0.49,16.9,0.95,0.00 
1413,宏洲,1558963.0,46.88,162038.0,1040486.0,15.4,1321124.0,2737080.0,5.98,2.1,56.4,1.23,0.00 
1414,東和,702471.0,11.14,58588.0,3119690.0,1.89,2200000.0,4416425.0,1.32,0.31,32.28,0.27,0.00 
1416,廣豐,20370.0,21.26,343732.0,3617737.0,8.11,1853422.0,7210490.0,4.19,0.06,45.3,1.85,0.00 
1417,嘉裕,1035869.0,24.7,353043.0,2558563.0,10.44,1899419.0,3147085.0,8.5,0.57,28.48,1.86,0.00 
1418,東華,100142.0,52.66,228235.0,407391.0,53.42,568343.0,2232986.0,10.24,0.16,74.13,4.2,0.00 
1419,新紡,2149213.0,3.22,364492.0,9087368.0,4.18,3000413.0,13579128.0,2.77,0.27,32.35,1.22,0.00 
1423,利華,202723.0,55.45,354023.0,3003190.0,13.48,1384000.0,3335725.0,12.2,0.33,8.56,2.56,0.00 
1432,大魯閣,1154819.0,2.02,15844.0,796172.0,1.67,750000.0,4804207.0,0.32,0.35,80.6,0.0,0.00 
1434,福懋,28783492.0,21.46,2095306.0,61483588.0,3.65,16846646.0,79462058.0,2.78,0.85,20.48,1.25,0.00 
1435,中福,15053.0,29.05,21435.0,830205.0,2.55,1397801.0,1007903.0,2.11,0.03,15.73,0.17,0.00 
1436,華友聯,1631881.0,21.35,179648.0,2706849.0,6.61,956340.0,11672964.0,1.57,0.28,71.9,1.88,0.00 
1437,勤益控,605384.0,2.49,356977.0,6397640.0,5.64,2033713.0,11237184.0,3.18,0.09,40.95,1.76,0.00 
1438,三地開發,98432.0,894718.18,45919.0,560237.0,8.17,1024115.0,1866081.0,3.29,0.0,11.92,0.45,0.00 
1439,中和,113119.0,34.62,243523.0,2230790.0,10.76,920000.0,2405928.0,10.33,0.11,0.69,2.65,0.00 
1440,南紡,17628221.0,23.19,971261.0,25277681.0,3.9,16568159.0,46874462.0,2.09,0.9,44.69,0.57,0.00 
1441,大東,1509851.0,4.2,292272.0,964789.0,29.53,1008000.0,2388768.0,11.72,0.87,56.8,2.46,0.00 
1442,名軒,2231333.0,221.22,76808.0,5514196.0,1.46,3662113.0,12921260.0,0.6,0.1,57.5,0.25,0.00 
1443,立益,569401.0,19.19,58737.0,788945.0,6.02,1353430.0,5690226.0,0.84,0.23,84.63,0.29,0.00 
1444,力麗,8373609.0,30.27,424828.0,11476477.0,3.75,9573029.0,17398746.0,2.5,1.13,37.33,0.38,0.00 
1445,大宇,917470.0,33.06,57906.0,1592896.0,3.63,1306660.0,1970847.0,2.94,1.18,17.41,0.44,0.00 
1446,宏和,490557.0,11.61,7438.0,1538654.0,0.49,1377095.0,4085885.0,0.18,0.22,63.4,0.05,0.00 
1447,力鵬,13559461.0,7.0,414333.0,10429215.0,4.05,9144872.0,17844807.0,2.29,1.4,44.17,0.48,0.00 
1449,佳和,1929151.0,22.71,127030.0,1084525.0,12.31,878125.0,6364291.0,2.06,0.65,88.94,1.46,0.00 
1451,年興,7019373.0,18.07,423066.0,7269509.0,5.86,1980000.0,9045576.0,4.68,1.6,22.96,2.14,0.00 
1452,宏益,1271905.0,33.69,97497.0,2514111.0,3.95,1326414.0,2749971.0,3.66,1.27,7.6,0.74,0.00 
1453,大將,219411.0,390.2,15301.0,1293259.0,1.18,1006151.0,1355776.0,1.15,0.03,2.93,0.15,0.00 
1454,台富,1204928.0,36.73,38295.0,1527087.0,2.56,1298338.0,1992198.0,2.01,1.65,25.45,0.31,0.00 
