Income,Liab_ratio,Total_assete,EPS,Networth,Return_Eq,Revenue,Turnover,Stock,Reture_A,Top_100
7040927,92.4,2313440219.0,0.68,165053790,4.28,19140252,0.04,103847236.0,0.31,0
5490971,85.52,325457939.0,4.9,46583090,12.29,5245953,0.07,11212343.0,1.72,0
4025533,92.48,736770021.0,1.03,57321753,7.26,8279093,0.04,41516943.0,0.56,0
1578242,87.92,218284001.0,1.18,25449442,6.3,1120638,0.03,13429600.0,0.71,0
4701775,94.53,1791635053.0,0.63,98658749,4.8,16192217,0.04,74885834.0,0.27,0
763315,94.3,276159561.0,0.68,16214624,4.73,2605181,0.04,11295577.0,0.28,0
3441505,91.91,757558002.0,0.96,60192412,5.84,7641060,0.05,32933688.0,0.45,0
2518703,92.78,680047467.0,0.73,48743705,5.18,6036627,0.05,34481044.0,0.37,0
2171460,88.99,311461016.0,1.11,34521952,6.35,3425664,0.05,19579101.0,0.7,0
2300929,90.94,575413630.0,0.41,54252765,4.39,4024649,0.04,30330063.0,0.4,0
17814616,90.16,2113741790.0,3.01,205099212,8.73,26388610,0.05,44816031.0,0.83,0
3614596,72.05,113711765.0,2.58,29479482,12.64,9581272,0.13,13998378.0,3.23,0
3840679,72.8,163062634.0,1.64,38674730,10.11,9724095,0.1,21709081.0,2.36,0
622344,87.75,46413395.0,3.07,6386959,9.84,2425823,0.08,2104376.0,1.34,0
27991393,43.27,389506236.0,4.32,218830053,13.13,114367247,0.58,60102549.0,7.28,0
18773807,43.0,297086855.0,4.7,169886952,11.16,78240880,0.53,33614472.0,6.27,0
1837994,38.85,40646227.0,2.74,25017349,7.64,2058417,0.09,7747805.0,4.69,0
1259795,22.64,24102936.0,1.91,18785353,6.86,5426217,0.37,6536092.0,5.33,0
392269,41.04,8027307.0,0.97,4656919,8.49,4530172,0.87,4047380.0,4.93,0
1448873,22.89,11811053.0,2.94,9541016,15.78,7593294,1.25,3419579.0,12.81,0
16949,12.01,9865320.0,0.04,8548719,0.2,1590986,0.28,5720008.0,0.17,0
536142,63.64,18031521.0,1.06,6855788,7.99,18650871,1.83,5060629.0,2.93,0
693921,34.05,9331602.0,1.81,6312382,11.16,6043700,1.17,2400000.0,7.45,0
4072346,48.57,51693036.0,3.99,27886752,15.04,81650892,2.84,8273391.0,7.89,0
-27252,55.5,1255281.0,-0.48,536146,-5.0,409612,0.62,566226.0,-2.14,0
1639876,53.74,19546349.0,6.18,8733486,19.22,22189635,2.0,2679910.0,8.47,0
30800665,63.56,495338492.0,3.79,180598593,17.3,447319979,1.67,56820154.0,6.24,0
249394,50.07,13340859.0,0.47,6858474,3.68,4614486,0.62,4945134.0,1.86,0
851541,28.43,9240265.0,1.75,7031602,12.25,8356125,1.51,4999990.0,9.28,0
565233,55.7,8550063.0,1.91,4443414,12.91,12324165,2.39,3220139.0,6.6,0
189740,21.31,3101296.0,1.02,2548594,7.53,2775071,1.65,1770779.0,6.27,0
417787,52.87,7693394.0,1.72,3733141,11.45,10213493,2.32,2187030.0,5.52,0
3255830,33.5,27823862.0,3.54,18015627,18.55,34466244,2.15,9150897.0,12.26,0
3499454,19.15,55988518.0,2.43,44450094,8.23,9544161,0.31,12814983.0,6.53,0
685698,51.06,8822575.0,3.74,4065573,17.42,8817321,2.0,1833252.0,7.81,0
1322623,28.86,6348688.0,8.08,4641004,29.9,17440979,5.25,1599749.0,21.94,0
57383,35.07,2433516.0,0.63,1504274,3.89,1906194,1.59,905919.0,2.37,0
890163,21.03,22211391.0,2.22,18068635,4.95,9204945,0.69,4018711.0,3.96,0
65636,38.58,4167382.0,0.65,2997328,2.39,78579,0.02,1043978.0,1.64,0
180,38.43,2764972.0,0.0,1607981,0.01,1637280,1.2,1083425.0,0.01,0
776806,34.59,3557450.0,22.99,2670735,30.36,3479683,1.99,338422.0,21.83,0
20036199,29.76,479280423.0,3.15,332536140,6.41,185813405,0.74,63657408.0,4.35,1
26888091,35.9,584712347.0,3.24,356586478,7.86,273353806,0.9,79308216.0,4.74,1
5682637,45.15,77324516.0,2.25,48723643,12.22,50201273,1.36,11887635.0,7.56,0
1791710,29.35,13893625.0,2.95,10303758,18.37,13733148,2.15,5533814.0,13.35,0
218012,45.4,15340889.0,0.55,7873126,2.77,8441756,1.18,3978181.0,1.42,0
1103587,39.55,16883503.0,1.9,12109545,9.65,5703546,0.7,5821018.0,6.75,0
1919818,46.28,9245870.0,5.58,6355806,32.71,15498381,3.82,3442310.0,21.54,0
289723,22.3,9012370.0,0.55,7463726,4.16,8113225,2.31,5278698.0,3.49,0
4320555,13.51,36322368.0,4.52,31120337,14.51,16575784,1.15,9266203.0,12.53,0
2134320,54.44,44200637.0,1.62,24954701,9.01,51866839,2.4,13323476.0,4.86,0
674660,30.35,104909990.0,0.21,70868031,0.96,17583092,0.58,32848502.0,0.65,0
5430211,15.44,13066420.0,31.97,12204094,44.67,2233540,0.44,1386000.0,40.81,0
65067,64.56,7095303.0,0.2,2609608,-3.96,1236441,0.17,1846776.0,-1.47,0
742587,38.72,35553199.0,1.39,22359392,3.34,17322986,1.01,5914771.0,2.09,0
