,公司代號,公司名稱,營業收入,營收成長率,本期淨利（淨損）,淨值,股東權益報酬率,股本,資產總額,資產報酬率,總資產週轉率,負債比率,基本每股盈餘（元）,Top_100
0,N_name,Name,Revenue,SV,Income,Networth,Return_Eq,Stock,Total_assete,Reture_A,Turnover,Liab_ratio,EPS,Top_100
1,2801,彰銀,19140252,-14.83,7040927,165053790,4.28,103847236,2313440219,0.31,0.04,92.4,0.68,0
2,2809,京城銀,5245953,4.87,5490971,46583090,12.29,11212343,325457939,1.72,0.07,85.52,4.9,0
3,2812,台中銀,8279093,-3.87,4025533,57321753,7.26,41516943,736770021,0.56,0.04,92.48,1.03,0
4,2820,華票,1120638,24.44,1578242,25449442,6.3,13429600,218284001,0.71,0.03,87.92,1.18,0
5,2834,臺企銀,16192217,-5.81,4701775,98658749,4.8,74885834,1791635053,0.27,0.04,94.53,0.63,0
6,2836,高雄銀,2605181,0.18,763315,16214624,4.73,11295577,276159561,0.28,0.04,94.3,0.68,0
7,2838,聯邦銀,7641060,3.8,3441505,60192412,5.84,32933688,757558002,0.45,0.05,91.91,0.96,0
8,2845,遠東銀,6036627,-3.98,2518703,48743705,5.18,34481044,680047467,0.37,0.05,92.78,0.73,0
9,2849,安泰銀,3425664,-8.83,2171460,34521952,6.35,19579101,311461016,0.7,0.05,88.99,1.11,0
10,2897,王道銀行,4024649,-3.15,2300929,54252765,4.39,30330063,575413630,0.4,0.04,90.94,0.41,0
11,5876,上海商銀,26388610,-7.68,17814616,205099212,8.73,44816031,2113741790,0.83,0.05,90.16,3.01,0
12,2855,統一證,9581272,34.15,3614596,29479482,12.64,13998378,113711765,3.23,0.13,72.05,2.58,0
13,6005,群益證,9724095,24.67,3840679,38674730,10.11,21709081,163062634,2.36,0.1,72.8,1.64,0
14,6024,群益期,2425823,26.31,622344,6386959,9.84,2104376,46413395,1.34,0.08,87.75,3.07,0
15,1101,台泥,114367247,-6.86,27991393,218830053,13.13,60102549,389506236,7.28,0.58,43.27,4.32,0
16,1102,亞泥,78240880,-12.42,18773807,169886952,11.16,33614472,297086855,6.27,0.53,43,4.7,0
17,1103,嘉泥,2058417,9.2,1837994,25017349,7.64,7747805,40646227,4.69,0.09,38.85,2.74,0
18,1104,環泥,5426217,8.4,1259795,18785353,6.86,6536092,24102936,5.33,0.37,22.64,1.91,0
19,1108,幸福,4530172,21.4,392269,4656919,8.49,4047380,8027307,4.93,0.87,41.04,0.97,0
20,1109,信大,7593294,-3.15,1448873,9541016,15.78,3419579,11811053,12.81,1.25,22.89,2.94,0
21,1110,東泥,1590986,0.38,16949,8548719,0.2,5720008,9865320,0.17,0.28,12.01,0.04,0
